City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
56,San Patricio,US,28.017,-97.5169,71.46,27,0,11.45,clear sky
57,Aktau,KZ,43.65,51.2,25.38,72,18,7.58,few clouds
58,Boyolangu,ID,-8.1181,111.8935,78.73,83,94,3.91,overcast clouds
59,Maragogi,BR,-9.0122,-35.2225,78.98,78,100,13.67,overcast clouds
60,Cercal,PT,37.806,-8.6715,55.74,88,46,15.3,scattered clouds
61,Bluff,NZ,-46.6,168.3333,63.81,80,52,13.85,broken clouds
62,Ahipara,NZ,-35.1667,173.1667,73.38,71,34,7.31,scattered clouds
63,Moose Factory,CA,51.2585,-80.6094,17.58,86,100,8.05,mist
64,Meulaboh,ID,4.1363,96.1285,74.57,93,100,6.62,overcast clouds
65,Yellowknife,CA,62.456,-114.3525,3.56,91,100,5.99,overcast clouds
66,Obihiro,JP,42.9172,143.2044,26.01,53,3,16.17,clear sky
67,Balkhash,KZ,46.844,74.9804,0.86,78,0,13.47,clear sky
68,Busselton,AU,-33.65,115.3333,68.36,55,0,13.02,clear sky
69,Lebu,CL,-37.6167,-73.65,61.18,87,2,7.81,clear sky
70,Cururupu,BR,-1.8283,-44.8683,75.92,88,88,3.65,overcast clouds
71,Belluno,IT,46.145,12.2214,34.41,72,98,3.98,overcast clouds
72,Kudat,MY,6.8837,116.8477,80.53,89,20,3.44,few clouds
73,Cherskiy,RU,68.75,161.3,-42.29,99,95,6.06,overcast clouds
74,Pevek,RU,69.7008,170.3133,-31.25,99,96,7.23,overcast clouds
75,Faanui,PF,-16.4833,-151.75,80.2,78,79,18.07,light rain
76,Hermanus,ZA,-34.4187,19.2345,66.79,87,97,5.46,overcast clouds
77,Phan Thiet,VN,10.9333,108.1,73.85,80,34,4.34,scattered clouds
78,Cape Town,ZA,-33.9258,18.4232,72.37,81,0,12.66,clear sky
79,Slave Lake,CA,55.2834,-114.769,15.4,94,20,3.4,few clouds
80,Antofagasta,CL,-23.65,-70.4,67.28,77,17,4.92,few clouds
81,Cockburn Town,TC,21.4612,-71.1419,77.22,68,2,11.16,clear sky
82,Salalah,OM,17.0151,54.0924,75.29,57,75,9.22,broken clouds
83,Cervo,ES,43.6702,-7.4101,56.97,84,100,6.96,overcast clouds
84,Kiruna,SE,67.8557,20.2251,22.12,80,99,10.36,overcast clouds
85,Cabo San Lucas,MX,22.8909,-109.9124,73.51,67,75,4.61,broken clouds
86,Albany,US,42.6001,-73.9662,27.57,72,4,4.94,clear sky
87,Bredasdorp,ZA,-34.5322,20.0403,68.65,92,56,3.38,broken clouds
88,Caravelas,BR,-17.7125,-39.2481,71.82,78,100,13.38,overcast clouds
