City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Phan Thiet,VN,73.85,scattered clouds,10.9333,108.1,Hotel Saigon-PT
78,Cape Town,ZA,72.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
80,Antofagasta,CL,67.28,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
81,Cockburn Town,TC,77.22,clear sky,21.4612,-71.1419,Osprey Beach Hotel
82,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
85,Cabo San Lucas,MX,73.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
87,Bredasdorp,ZA,68.65,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
88,Caravelas,BR,71.82,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
90,Port Elizabeth,ZA,66.09,clear sky,-33.918,25.5701,39 On Nile Guest House
91,Hobyo,SO,76.78,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
101,Touros,BR,78.94,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
102,Narrabri,AU,70.52,clear sky,-30.3167,149.7833,Crossroads Hotel
103,Vao,NC,75.69,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
104,Adrar,MR,73.36,clear sky,20.5022,-10.0711,
105,Saldanha,ZA,66.25,few clouds,-33.0117,17.9442,Blue Bay Lodge
112,Arraial Do Cabo,BR,71.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
113,Taitung,TW,68.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
115,Chuy,UY,67.03,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
116,Atuona,PF,78.24,scattered clouds,-9.8,-139.0333,Villa Enata
123,Texistepeque,SV,78.17,scattered clouds,14.1333,-89.5,Caserio Santa Elena Texistepeque
125,Bengkulu,ID,74.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
135,Pochutla,MX,78.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
136,Curup,ID,67.28,light rain,-3.4667,102.5333,Ayi The Costel
143,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
145,Rundu,,68.07,overcast clouds,-17.9333,19.7667,Millennia Estate
146,Sabang,ID,74.86,overcast clouds,5.8933,95.3214,Hotel Citra
148,Mangochi,MW,72.48,light rain,-14.4782,35.2645,Fort Johnstone Hotel
149,Ponta Do Sol,PT,65.03,scattered clouds,32.6667,-17.1,Hotel do Campo
152,Dingle,PH,79.38,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
154,Marawi,PH,72.46,overcast clouds,7.9986,124.2928,Derogongan Residence
155,Port-Gentil,GA,79.39,light rain,-0.7193,8.7815,Fengshui Residence
156,Sao Filipe,CV,79.74,scattered clouds,14.8961,-24.4956,Hotel Xaguate
